bust,waist,hips,shoulder,height,shape
38,35,37,19,155,Rectangle
44,41,36,23,166,InvertedTriangle
44,38,38,22,154,InvertedTriangle
34,31,33,19,184,Rectangle
35,33,41,16,163,Pear
40,38,41,19,156,Rectangle
42,33,44,19,152,Hourglass
38,29,38,16,152,Hourglass
34,33,33,18,166,Rectangle
35,33,35,17,158,Rectangle
38,33,49,15,170,Pear
38,34,32,23,170,InvertedTriangle
35,32,35,17,174,Rectangle
34,32,35,18,160,Rectangle
39,39,36,18,161,Apple
37,35,36,17,172,Apple
34,27,34,18,162,Hourglass
46,40,38,23,165,InvertedTriangle
38,34,29,22,175,InvertedTriangle
38,33,45,15,180,Pear
37,36,36,17,164,Apple
36,32,42,18,164,Pear
34,33,36,19,165,Rectangle
39,33,38,18,150,Hourglass
43,39,36,20,170,InvertedTriangle
37,35,36,17,154,Rectangle
37,37,34,20,163,Apple
35,30,41,16,178,Pear
43,39,38,23,185,InvertedTriangle
34,32,44,15,176,Pear
42,36,36,22,168,InvertedTriangle
44,38,38,24,162,InvertedTriangle
38,34,49,18,150,Pear
42,38,37,23,171,InvertedTriangle
35,33,36,17,151,Rectangle
32,27,44,16,176,Pear
36,34,48,15,163,Pear
44,38,35,20,156,InvertedTriangle
39,34,30,23,179,InvertedTriangle
37,35,36,18,154,Rectangle
43,43,41,17,168,Apple
39,35,30,21,184,InvertedTriangle
35,33,41,15,185,Pear
32,28,39,17,179,Pear
39,36,38,16,158,Rectangle
38,37,35,17,183,Apple
42,42,41,20,157,Apple
33,28,44,17,179,Pear
34,33,34,18,177,Rectangle
40,31,38,19,175,Hourglass
38,32,36,16,160,Hourglass
38,34,48,18,185,Pear
38,34,33,24,162,InvertedTriangle
34,33,35,16,172,Rectangle
37,35,34,18,160,Apple
37,34,37,16,175,Rectangle
33,29,45,15,177,Pear
42,37,33,22,185,InvertedTriangle
39,29,39,18,178,Hourglass
34,32,41,16,160,Pear
39,33,39,18,153,Hourglass
40,33,40,17,161,Hourglass
40,33,39,16,163,Hourglass
36,34,48,16,163,Pear
36,34,37,16,179,Rectangle
38,29,40,19,172,Hourglass
36,26,36,17,178,Hourglass
33,29,45,17,161,Pear
35,34,34,18,183,Rectangle
40,38,42,17,160,Rectangle
42,32,44,16,173,Hourglass
43,42,41,20,167,Apple
37,34,39,19,184,Rectangle
38,30,38,16,177,Hourglass
39,36,39,16,153,Rectangle
39,31,37,17,171,Hourglass
44,43,41,19,182,Apple
34,30,45,18,163,Pear
38,36,36,17,174,Apple
38,33,33,21,174,InvertedTriangle
37,36,34,17,161,Apple
41,37,36,24,155,InvertedTriangle
36,34,45,18,159,Pear
39,35,29,20,169,InvertedTriangle
37,30,35,17,151,Hourglass
32,30,38,15,181,Pear
35,33,47,16,161,Pear
42,42,40,19,172,Apple
39,33,39,19,150,Hourglass
45,39,35,23,162,InvertedTriangle
38,33,48,15,178,Pear
39,36,33,23,152,InvertedTriangle
39,35,34,23,177,InvertedTriangle
40,39,39,19,168,Apple
37,36,37,16,169,Rectangle
38,28,38,16,153,Hourglass
34,31,36,18,150,Rectangle
42,41,41,18,168,Apple
40,40,37,19,169,Apple
39,36,41,17,177,Rectangle
37,35,43,15,157,Pear
36,34,45,18,159,Pear
36,34,35,18,184,Rectangle
45,41,40,20,152,InvertedTriangle
37,35,37,16,172,Rectangle
38,35,45,17,170,Pear
46,43,37,20,151,InvertedTriangle
37,36,35,20,152,Apple
39,35,33,22,159,InvertedTriangle
38,35,39,18,158,Rectangle
36,29,34,19,172,Hourglass
38,38,37,20,166,Apple
41,37,31,24,180,InvertedTriangle
34,25,35,19,151,Hourglass
37,34,44,16,162,Pear
33,29,39,16,173,Pear
36,36,33,18,178,Apple
38,36,38,17,179,Rectangle
39,38,39,17,168,Rectangle
40,36,33,22,170,InvertedTriangle
41,37,31,21,176,InvertedTriangle
40,32,39,16,160,Hourglass
38,31,40,19,175,Hourglass
38,34,28,21,158,InvertedTriangle
39,36,39,18,162,Rectangle
33,31,45,18,156,Pear
38,36,35,18,164,Apple
44,39,35,22,179,InvertedTriangle
38,33,29,23,168,InvertedTriangle
42,32,44,18,182,Hourglass
42,35,42,16,174,Hourglass
40,37,41,17,175,Rectangle
34,33,35,16,176,Rectangle
36,30,34,17,152,Hourglass
34,33,35,18,167,Rectangle
39,38,39,17,156,Rectangle
38,32,39,18,182,Hourglass
38,34,46,18,171,Pear
46,43,39,21,160,InvertedTriangle
38,36,39,18,182,Rectangle
34,31,40,17,169,Pear
42,40,41,19,174,Apple
42,36,34,20,166,InvertedTriangle
38,36,50,17,181,Pear
35,33,41,16,176,Pear
33,30,45,17,153,Pear
37,36,35,19,176,Apple
40,39,39,17,175,Apple
36,31,47,16,152,Pear
32,27,41,18,177,Pear
44,42,42,18,177,Apple
36,27,36,17,156,Hourglass
43,41,41,17,180,Apple
38,36,35,19,166,Apple
40,35,31,21,178,InvertedTriangle
46,41,36,22,180,InvertedTriangle
38,36,45,15,177,Pear
46,41,41,21,157,InvertedTriangle
39,37,40,18,159,Rectangle
34,24,33,19,162,Hourglass
36,33,48,17,156,Pear
34,27,33,17,173,Hourglass
38,29,36,16,163,Hourglass
35,34,34,16,184,Rectangle
36,34,35,17,162,Rectangle
44,44,41,19,170,Apple
37,35,49,18,171,Pear
45,40,40,22,183,InvertedTriangle
39,38,40,17,169,Rectangle
38,35,33,20,157,InvertedTriangle
40,31,41,18,160,Hourglass
39,38,38,19,185,Apple
32,28,44,17,180,Pear
38,33,45,17,168,Pear
39,36,40,16,159,Rectangle
35,32,41,15,173,Pear
42,34,43,19,174,Hourglass
36,34,34,18,173,Apple
41,35,34,22,161,InvertedTriangle
36,34,48,15,153,Pear
34,26,33,16,156,Hourglass
41,39,39,20,161,Apple
36,34,42,15,155,Pear
41,35,34,20,177,InvertedTriangle
38,35,39,19,182,Rectangle
36,29,36,17,171,Hourglass
37,35,49,16,172,Pear
34,33,33,18,163,Rectangle
38,36,39,19,159,Rectangle
43,39,36,24,155,InvertedTriangle
38,37,39,19,151,Rectangle
39,38,36,18,163,Apple
37,31,36,18,160,Hourglass
40,34,42,17,164,Hourglass
46,43,36,23,155,InvertedTriangle
38,34,45,15,176,Pear
38,35,40,18,162,Rectangle
34,32,35,16,177,Rectangle
38,34,32,23,185,InvertedTriangle
37,36,35,19,166,Apple
39,29,37,17,170,Hourglass
39,37,37,20,164,Apple
43,37,33,23,155,InvertedTriangle
42,41,39,17,185,Apple
36,31,43,17,182,Pear
37,35,36,18,150,Apple
43,41,41,17,153,Apple
41,39,39,20,151,Apple
34,29,41,15,157,Pear
34,32,46,15,174,Pear
40,32,38,17,152,Hourglass
40,37,35,20,183,InvertedTriangle
37,34,37,19,176,Rectangle
34,32,40,15,168,Pear
34,31,42,15,151,Pear
36,35,37,17,183,Rectangle
38,38,36,17,162,Apple
40,31,38,18,161,Hourglass
42,40,41,20,156,Apple
45,39,36,21,176,InvertedTriangle
41,40,40,20,152,Apple
34,28,34,18,172,Hourglass
40,33,38,19,156,Hourglass
37,30,37,16,158,Hourglass
40,37,39,17,177,Rectangle
41,36,36,21,175,InvertedTriangle
36,28,35,17,183,Hourglass
38,32,33,24,162,InvertedTriangle
35,32,44,17,157,Pear
38,36,36,18,174,Apple
37,36,36,19,180,Rectangle
37,34,49,17,165,Pear
45,40,38,24,152,InvertedTriangle
36,34,33,18,171,Apple
38,28,37,16,172,Hourglass
38,33,49,18,159,Pear
40,39,42,16,184,Rectangle
40,33,38,17,171,Hourglass
35,34,34,19,151,Rectangle
38,35,45,16,154,Pear
39,35,32,24,175,InvertedTriangle
38,37,38,16,165,Rectangle
41,35,39,18,183,Hourglass
41,40,40,20,161,Apple
39,39,36,18,178,Apple
40,40,37,18,182,Apple
36,34,46,15,171,Pear
32,29,41,15,162,Pear
35,34,35,19,176,Rectangle
38,37,36,20,172,Apple
42,41,40,20,156,Apple
38,35,38,17,177,Rectangle
43,42,40,17,163,Apple
38,36,48,18,166,Pear
33,31,41,17,164,Pear
42,35,43,16,164,Hourglass
36,31,47,16,174,Pear
38,35,44,15,169,Pear
39,33,30,22,167,InvertedTriangle
36,34,43,15,163,Pear
